"DTI_CL_INDICADOR","Indicador","DTI_CL_ANO","Año","DTI_CL_REGION","Región","DTI_CL_SEXO","Sexo","DTI_CL_CISE","CISE","Value","Flag Codes","Flags"
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","M","Hombres","ICSE93_1_A","Asalariados sector privado",433428.1875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","M","Hombres","ICSE93_1_B","Asalariados sector público",760873.0625,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","F","Mujeres","ICSE93_T","Total",294173.40625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","F","Mujeres","ICSE93_2","Empleadores",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","F","Mujeres","ICSE93_3","Trabajadores por cuenta propia",166853.921875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","F","Mujeres","ICSE93_1_A","Asalariados sector privado",303874.15625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","F","Mujeres","ICSE93_1_B","Asalariados sector público",568203.1875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","F","Mujeres","ICSE93_7","Personal de servicio doméstico",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","_T","Ambos sexos","ICSE93_T","Total",491560.625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","_T","Ambos sexos","ICSE93_2","Empleadores",1035416.5,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","_T","Ambos sexos","ICSE93_3","Trabajadores por cuenta propia",292571.21875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","_T","Ambos sexos","ICSE93_1_A","Asalariados sector privado",533912.25,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","_T","Ambos sexos","ICSE93_1_B","Asalariados sector público",671584.3125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","_T","Ambos sexos","ICSE93_7","Personal de servicio doméstico",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","M","Hombres","ICSE93_T","Total",597283.75,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","M","Hombres","ICSE93_2","Empleadores",1157664,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","M","Hombres","ICSE93_3","Trabajadores por cuenta propia",312362.1875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","M","Hombres","ICSE93_1_A","Asalariados sector privado",649387.5625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","M","Hombres","ICSE93_1_B","Asalariados sector público",763884.9375,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","F","Mujeres","ICSE93_T","Total",350631.6875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","F","Mujeres","ICSE93_2","Empleadores",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","F","Mujeres","ICSE93_3","Trabajadores por cuenta propia",267274.15625,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","F","Mujeres","ICSE93_1_A","Asalariados sector privado",343463.84375,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","F","Mujeres","ICSE93_1_B","Asalariados sector público",601074.3125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","F","Mujeres","ICSE93_7","Personal de servicio doméstico",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","_T","Ambos sexos","ICSE93_T","Total",613205,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","_T","Ambos sexos","ICSE93_2","Empleadores",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","_T","Ambos sexos","ICSE93_3","Trabajadores por cuenta propia",309680.59375,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","_T","Ambos sexos","ICSE93_1_A","Asalariados sector privado",640463.625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","_T","Ambos sexos","ICSE93_1_B","Asalariados sector público",898773.6875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","_T","Ambos sexos","ICSE93_7","Personal de servicio doméstico",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","M","Hombres","ICSE93_T","Total",753078.3125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","M","Hombres","ICSE93_2","Empleadores",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","M","Hombres","ICSE93_3","Trabajadores por cuenta propia",409778.90625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","M","Hombres","ICSE93_1_A","Asalariados sector privado",737675.5,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","M","Hombres","ICSE93_1_B","Asalariados sector público",1127678.625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","F","Mujeres","ICSE93_T","Total",409802.65625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","F","Mujeres","ICSE93_2","Empleadores",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","F","Mujeres","ICSE93_3","Trabajadores por cuenta propia",201776.9375,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","F","Mujeres","ICSE93_1_A","Asalariados sector privado",457911.1875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","F","Mujeres","ICSE93_1_B","Asalariados sector público",628522.375,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","F","Mujeres","ICSE93_7","Personal de servicio doméstico",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","_T","Ambos sexos","ICSE93_T","Total",489633.9375,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","_T","Ambos sexos","ICSE93_2","Empleadores",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","_T","Ambos sexos","ICSE93_3","Trabajadores por cuenta propia",262297.5625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","_T","Ambos sexos","ICSE93_1_A","Asalariados sector privado",500201.9375,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","_T","Ambos sexos","ICSE93_1_B","Asalariados sector público",600540.9375,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","_T","Ambos sexos","ICSE93_7","Personal de servicio doméstico",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","M","Hombres","ICSE93_T","Total",577276,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","M","Hombres","ICSE93_2","Empleadores",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","M","Hombres","ICSE93_3","Trabajadores por cuenta propia",343687.34375,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","M","Hombres","ICSE93_1_A","Asalariados sector privado",561471.3125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","M","Hombres","ICSE93_1_B","Asalariados sector público",737699.6875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","F","Mujeres","ICSE93_T","Total",346887.875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","F","Mujeres","ICSE93_2","Empleadores",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","F","Mujeres","ICSE93_3","Trabajadores por cuenta propia",155626.03125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","F","Mujeres","ICSE93_1_A","Asalariados sector privado",342256.15625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","F","Mujeres","ICSE93_1_B","Asalariados sector público",518583.5,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","F","Mujeres","ICSE93_7","Personal de servicio doméstico",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","_T","Ambos sexos","ICSE93_T","Total",435567.78125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","_T","Ambos sexos","ICSE93_2","Empleadores",1234594.625,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","_T","Ambos sexos","ICSE93_3","Trabajadores por cuenta propia",250847.03125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","_T","Ambos sexos","ICSE93_1_A","Asalariados sector privado",456237.90625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","_T","Ambos sexos","ICSE93_1_B","Asalariados sector público",668667.5625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","_T","Ambos sexos","ICSE93_7","Personal de servicio doméstico",141625.21875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","M","Hombres","ICSE93_T","Total",493233.46875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","M","Hombres","ICSE93_2","Empleadores",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","M","Hombres","ICSE93_3","Trabajadores por cuenta propia",295289.75,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","M","Hombres","ICSE93_1_A","Asalariados sector privado",527047.3125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","M","Hombres","ICSE93_1_B","Asalariados sector público",733040.25,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","F","Mujeres","ICSE93_T","Total",349869.25,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","F","Mujeres","ICSE93_2","Empleadores",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","F","Mujeres","ICSE93_3","Trabajadores por cuenta propia",174908.625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","F","Mujeres","ICSE93_1_A","Asalariados sector privado",301427.46875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","F","Mujeres","ICSE93_1_B","Asalariados sector público",626400.3125,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","F","Mujeres","ICSE93_7","Personal de servicio doméstico",142750.375,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","_T","Ambos sexos","ICSE93_T","Total",401097.21875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","_T","Ambos sexos","ICSE93_2","Empleadores",878209.8125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","_T","Ambos sexos","ICSE93_3","Trabajadores por cuenta propia",233155.046875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","_T","Ambos sexos","ICSE93_1_A","Asalariados sector privado",410425.8125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","_T","Ambos sexos","ICSE93_1_B","Asalariados sector público",636164,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","_T","Ambos sexos","ICSE93_7","Personal de servicio doméstico",142202.890625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","M","Hombres","ICSE93_T","Total",479812.8125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","M","Hombres","ICSE93_2","Empleadores",972413.125,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","M","Hombres","ICSE93_3","Trabajadores por cuenta propia",303167.71875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","M","Hombres","ICSE93_1_A","Asalariados sector privado",454925.84375,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","M","Hombres","ICSE93_1_B","Asalariados sector público",743302.625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","M","Hombres","ICSE93_7","Personal de servicio doméstico",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","F","Mujeres","ICSE93_T","Total",297858.875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","F","Mujeres","ICSE93_2","Empleadores",543676.3125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","F","Mujeres","ICSE93_3","Trabajadores por cuenta propia",152422.1875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","F","Mujeres","ICSE93_1_A","Asalariados sector privado",327980.46875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","F","Mujeres","ICSE93_1_B","Asalariados sector público",551623.0625,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","F","Mujeres","ICSE93_7","Personal de servicio doméstico",138680.9375,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL13","Región Metropolitana de Santiago","_T","Ambos sexos","ICSE93_T","Total",543128.1875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL13","Región Metropolitana de Santiago","_T","Ambos sexos","ICSE93_2","Empleadores",1415863.25,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL13","Región Metropolitana de Santiago","_T","Ambos sexos","ICSE93_3","Trabajadores por cuenta propia",364995,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL13","Región Metropolitana de Santiago","_T","Ambos sexos","ICSE93_1_A","Asalariados sector privado",549598.75,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL13","Región Metropolitana de Santiago","_T","Ambos sexos","ICSE93_1_B","Asalariados sector público",748018.6875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL13","Región Metropolitana de Santiago","_T","Ambos sexos","ICSE93_7","Personal de servicio doméstico",223980.484375,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL13","Región Metropolitana de Santiago","M","Hombres","ICSE93_T","Total",638427.5,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL13","Región Metropolitana de Santiago","M","Hombres","ICSE93_2","Empleadores",1593388.75,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL13","Región Metropolitana de Santiago","M","Hombres","ICSE93_3","Trabajadores por cuenta propia",442897.46875,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL13","Región Metropolitana de Santiago","M","Hombres","ICSE93_1_A","Asalariados sector privado",593480.75,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL13","Región Metropolitana de Santiago","M","Hombres","ICSE93_1_B","Asalariados sector público",884201.4375,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL13","Región Metropolitana de Santiago","M","Hombres","ICSE93_7","Personal de servicio doméstico",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL13","Región Metropolitana de Santiago","F","Mujeres","ICSE93_T","Total",420574.125,,
"ESI_YRMEDIO_OCU","Ingreso medio real de la población ocupada (proyecciones base 2002)","2010","2010","CHL13","Región Metropolitana de Santiago","F","Mujeres","ICSE93_2","Empleadores",841061,,
